22702,0
22682,0
22662,0
22642,0
22622,0
22602,0
22582,0
22562,0
22542,0
22522,0
22902,0
22882,0
22862,0
22842,0
22822,0
22802,0
22782,0
22762,0
22742,0
22722,0
23102,0
23082,0
23062,0
23042,0
23022,0
23002,0
22982,0
22962,0
22942,0
22922,0
23302,0
23282,0
23262,0
23242,0
23222,0
23202,0
23182,0
23162,0
23142,0
23122,0
23502,0
23482,0
23462,0
23442,0
23422,0
23402,0
23382,0
23362,0
23342,0
23322,0
23702,0
23682,0
23662,0
23642,0
23622,0
23602,0
23582,0
23562,0
23542,0
23522,0
23902,0
23882,0
23862,0
23842,0
23822,0
23802,0
23782,0
23762,0
23742,0
23722,0
24102,0
24082,0
24062,0
24042,0
24022,0
24002,0
23982,0
23962,0
23942,0
23922,0
24302,0
24282,0
24262,0
24242,0
24222,0
24202,0
24182,0
24162,0
24142,0
24122,0
24502,0
24482,0
24462,0
24442,0
24422,0
24402,0
24382,0
24362,0
24342,0
24322,0
24702,0
24682,0
24662,0
24642,0
24622,0
24602,0
24582,0
24562,0
24542,0
24522,0
24902,0
24882,0
24862,0
24842,0
24822,0
24802,0
24782,0
24762,0
24742,0
24722,0
25102,0
25082,0
25062,0
25042,0
25022,0
25002,0
24982,0
24962,0
24942,0
24922,0
25302,0
25282,0
25262,0
25242,0
25222,0
25202,0
25182,0
25162,0
25142,0
25122,0
25502,0
25482,0
25462,0
25442,0
25422,0
25402,0
25382,0
25362,0
25342,0
25322,0
25702,0
25682,0
25662,0
25642,0
25622,0
25602,0
25582,0
25562,0
25542,0
25522,0
25902,-2
25882,-2
25862,-2
25842,-2
25822,-1
25802,-1
25782,0
25762,0
25742,0
25722,0
26102,-8
26082,-6
26062,-5
26042,-6
26022,-6
26002,-5
25982,-4
25962,-3
25942,-2
25922,-2
26302,-26
26282,-23
26262,-21
26242,-21
26222,-18
26202,-16
26182,-13
26162,-14
26142,-11
26122,-10
26502,-54
26482,-51
26462,-50
26442,-47
26422,-43
26402,-40
26382,-36
26362,-33
26342,-29
26322,-30
26702,-79
26682,-75
26662,-73
26642,-72
26622,-68
26602,-65
26582,-65
26562,-61
26542,-57
26522,-58
26902,-107
26882,-103
26862,-101
26842,-100
26822,-97
26802,-93
26782,-93
26762,-90
26742,-87
26722,-82
27102,-129
27082,-125
27062,-126
27042,-123
